ID                                     0xfb5
Delivery_person_ID             VADRES05DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                22.310526
Restaurant_longitude               73.170937
Delivery_location_latitude         22.380526
Delivery_location_longitude        73.240937
Order_Date                        12-03-2022
Time_Orderd                            18:50
Time_Order_picked                      18:55
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   35.000000
Name: 11, dtype: object
