ID                                        0x566
Delivery_person_ID                MYSRES20DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -12.337978
Restaurant_longitude                  76.616792
Delivery_location_latitude            12.387978
Delivery_location_longitude           76.666792
Order_Date                           03-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      33.000000
Name: 11038, dtype: object
