ID                                      0x1c6e
Delivery_person_ID             COIMBRES15DEL02
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.026686
Delivery_location_longitude          76.971736
Order_Date                          07-03-2022
Time_Orderd                              10:15
Time_Order_picked                        10:20
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     15.000000
Name: 11572, dtype: object
