ID                                      0x51fa
Delivery_person_ID             COIMBRES19DEL01
Delivery_person_Age                  36.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.022298
Restaurant_longitude                 76.998349
Delivery_location_latitude           11.132298
Delivery_location_longitude          77.108349
Order_Date                          04-04-2022
Time_Orderd                              18:40
Time_Order_picked                        18:45
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   2.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     36.000000
Name: 12318, dtype: object
