ID                                       0x5ce0
Delivery_person_ID                JAPRES14DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   26.888420
Restaurant_longitude                  75.800689
Delivery_location_latitude            26.938420
Delivery_location_longitude           75.850689
Order_Date                           03-04-2022
Time_Orderd                               18:25
Time_Order_picked                         18:30
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 12757, dtype: object
