ID                                      0x6244
Delivery_person_ID             COIMBRES05DEL03
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  11.022169
Restaurant_longitude                 76.999594
Delivery_location_latitude           11.112169
Delivery_location_longitude          77.089594
Order_Date                          08-03-2022
Time_Orderd                              17:25
Time_Order_picked                        17:40
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     36.000000
Name: 14644, dtype: object
