ID                                    0xdd9a
Delivery_person_ID             KOCRES18DEL01
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                 9.957144
Restaurant_longitude               76.296783
Delivery_location_latitude          9.997144
Delivery_location_longitude        76.336783
Order_Date                        11-02-2022
Time_Orderd                            15:40
Time_Order_picked                      15:50
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 17141, dtype: object
