ID                                       0x85e2
Delivery_person_ID               SURRES010DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   21.171060
Restaurant_longitude                  72.789292
Delivery_location_latitude            21.181060
Delivery_location_longitude           72.799292
Order_Date                           24-03-2022
Time_Orderd                               11:40
Time_Order_picked                         11:50
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 17453, dtype: object
