ID                                    0xc020
Delivery_person_ID             KOLRES15DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -22.552672
Restaurant_longitude               88.352885
Delivery_location_latitude         22.622672
Delivery_location_longitude        88.422885
Order_Date                        16-02-2022
Time_Orderd                              NaN
Time_Order_picked                      19:40
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   35.000000
Name: 18296, dtype: object
