ID                                       0x7a0d
Delivery_person_ID                MYSRES09DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.323194
Restaurant_longitude                  76.630583
Delivery_location_latitude            12.363194
Delivery_location_longitude           76.670583
Order_Date                           19-03-2022
Time_Orderd                               14:55
Time_Order_picked                         14:60
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 18313, dtype: object
