ID                                     0x9fde
Delivery_person_ID             PUNERES06DEL02
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.546258
Restaurant_longitude                73.904337
Delivery_location_latitude          18.566258
Delivery_location_longitude         73.924337
Order_Date                         03-03-2022
Time_Orderd                             10:55
Time_Order_picked                       11:10
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    16.000000
Name: 20174, dtype: object
