ID                                    0xe07e
Delivery_person_ID             BHPRES14DEL03
Delivery_person_Age                    33.00
Delivery_person_Ratings                 4.40
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.06
Delivery_location_longitude             0.06
Order_Date                        11-02-2022
Time_Orderd                            19:20
Time_Order_picked                      19:30
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       47.00
Name: 22410, dtype: object
