ID                                       0xb70c
Delivery_person_ID               PUNERES03DEL01
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   18.554382
Restaurant_longitude                  73.798206
Delivery_location_latitude            18.664382
Delivery_location_longitude           73.908206
Order_Date                           23-03-2022
Time_Orderd                               21:45
Time_Order_picked                         21:60
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      47.000000
Name: 22574, dtype: object
