ID                                       0xbf40
Delivery_person_ID               LUDHRES08DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   30.899992
Restaurant_longitude                  75.831338
Delivery_location_latitude            30.959992
Delivery_location_longitude           75.891338
Order_Date                           11-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         17:20
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 22958, dtype: object
