ID                                     0xd8a8
Delivery_person_ID             LUDHRES16DEL02
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 30.895817
Restaurant_longitude                75.813112
Delivery_location_latitude          30.915817
Delivery_location_longitude         75.833112
Order_Date                         15-02-2022
Time_Orderd                             11:55
Time_Order_picked                       11:60
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    35.000000
Name: 26344, dtype: object
