ID                                    0x7dd9
Delivery_person_ID             SURRES13DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                21.170096
Restaurant_longitude               72.789122
Delivery_location_latitude         21.190096
Delivery_location_longitude        72.809122
Order_Date                        07-03-2022
Time_Orderd                             9:45
Time_Order_picked                       9:55
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   23.000000
Name: 26926, dtype: object
