ID                                       0x17cb
Delivery_person_ID               PUNERES12DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   18.520016
Restaurant_longitude                  73.830547
Delivery_location_latitude            18.560016
Delivery_location_longitude           73.870547
Order_Date                           05-03-2022
Time_Orderd                               14:50
Time_Order_picked                         15:05
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      33.000000
Name: 27925, dtype: object
