ID                                       0x7e3e
Delivery_person_ID                HYDRES05DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   17.433809
Restaurant_longitude                  78.386744
Delivery_location_latitude            17.543809
Delivery_location_longitude           78.496744
Order_Date                           31-03-2022
Time_Orderd                               18:35
Time_Order_picked                         18:50
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 28868, dtype: object
