ID                                       0x277a
Delivery_person_ID                MUMRES01DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   19.126630
Restaurant_longitude                  72.829976
Delivery_location_latitude            19.236630
Delivery_location_longitude           72.939976
Order_Date                           04-04-2022
Time_Orderd                               20:35
Time_Order_picked                         20:40
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                    Yes
City                                        NaN
Time_taken (min)                      41.000000
Name: 29029, dtype: object
