ID                                    0xc37a
Delivery_person_ID             KOCRES09DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                10.000706
Restaurant_longitude               76.349516
Delivery_location_latitude         10.040706
Delivery_location_longitude        76.389516
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                      14:60
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 29166, dtype: object
