ID                                       0x4fc2
Delivery_person_ID               BANGRES05DEL02
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   12.970324
Restaurant_longitude                  77.645748
Delivery_location_latitude            13.020324
Delivery_location_longitude           77.695748
Order_Date                           24-03-2022
Time_Orderd                               20:25
Time_Order_picked                         20:35
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      10.000000
Name: 29565, dtype: object
