ID                                     0xdc04
Delivery_person_ID             LUDHRES01DEL02
Delivery_person_Age                 32.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.873988
Restaurant_longitude                75.842739
Delivery_location_latitude          31.003988
Delivery_location_longitude         75.972739
Order_Date                         14-02-2022
Time_Orderd                             18:30
Time_Order_picked                       18:35
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 31349, dtype: object
