ID                                       0xcf6f
Delivery_person_ID                BHPRES13DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.230791
Restaurant_longitude                  77.437020
Delivery_location_latitude            23.310791
Delivery_location_longitude           77.517020
Order_Date                           12-02-2022
Time_Orderd                               19:20
Time_Order_picked                         19:35
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      46.000000
Name: 32454, dtype: object
