ID                                     0x4de
Delivery_person_ID             SURRES05DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -21.175104
Restaurant_longitude              -72.804342
Delivery_location_latitude         21.205104
Delivery_location_longitude        72.834342
Order_Date                        28-03-2022
Time_Orderd                              NaN
Time_Order_picked                      23:50
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 32688, dtype: object
