ID                                    0xcbd7
Delivery_person_ID             BHPRES11DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                23.233219
Restaurant_longitude               77.433571
Delivery_location_latitude         23.243219
Delivery_location_longitude        77.443571
Order_Date                        13-02-2022
Time_Orderd                            10:60
Time_Order_picked                      11:15
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 32773, dtype: object
