ID                                       0xd8bb
Delivery_person_ID                KOCRES18DEL03
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                    9.957144
Restaurant_longitude                  76.296783
Delivery_location_latitude             9.987144
Delivery_location_longitude           76.326783
Order_Date                           17-02-2022
Time_Orderd                               21:15
Time_Order_picked                         21:25
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      30.000000
Name: 33528, dtype: object
