ID                                    0xc0dc
Delivery_person_ID             KNPRES04DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude               -26.471529
Restaurant_longitude               80.313458
Delivery_location_latitude         26.521529
Delivery_location_longitude        80.363458
Order_Date                        11-02-2022
Time_Orderd                            18:25
Time_Order_picked                      18:30
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 3449, dtype: object
