ID                                    0xbf16
Delivery_person_ID             KOCRES07DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                 9.985697
Restaurant_longitude               76.281128
Delivery_location_latitude         10.005697
Delivery_location_longitude        76.301128
Order_Date                        11-02-2022
Time_Orderd                              NaN
Time_Order_picked                      11:35
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 36119, dtype: object
