ID                                       0x554d
Delivery_person_ID               CHENRES12DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   12.972793
Restaurant_longitude                  80.249982
Delivery_location_latitude            13.042793
Delivery_location_longitude           80.319982
Order_Date                           02-04-2022
Time_Orderd                               19:40
Time_Order_picked                         19:55
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      42.000000
Name: 36540, dtype: object
