ID                                        0xbb5
Delivery_person_ID                MUMRES04DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   19.254567
Restaurant_longitude                  72.848923
Delivery_location_latitude            19.344567
Delivery_location_longitude           72.938923
Order_Date                           20-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         20:50
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 366, dtype: object
