ID                                        0xb197
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    37.000000
Delivery_person_Ratings                 4.700000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.414422
Delivery_location_longitude            85.392900
Order_Date                            03-03-2022
Time_Orderd                                20:40
Time_Order_picked                          20:50
Weather conditions                         Windy
Road_traffic_density                         Jam
Vehicle_condition                              0
Type_of_order                               Meal
Type_of_vehicle                       motorcycle
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       35.000000
Name: 38359, dtype: object
