ID                                     0xd5b8
Delivery_person_ID             BHPRES010DEL01
Delivery_person_Age                 32.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 23.266261
Restaurant_longitude                77.379605
Delivery_location_latitude          23.376261
Delivery_location_longitude         77.489605
Order_Date                         12-02-2022
Time_Orderd                             23:50
Time_Order_picked                       24:05
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    16.000000
Name: 39148, dtype: object
