ID                                      0x503b
Delivery_person_ID             BANGRES010DEL01
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           13.003298
Delivery_location_longitude          77.684293
Order_Date                          06-03-2022
Time_Orderd                              22:50
Time_Order_picked                        23:05
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   2.000000
Festival                                   Yes
City                             Metropolitian
Time_taken (min)                     43.000000
Name: 41650, dtype: object
