ID                                        0x4a90
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    35.000000
Delivery_person_Ratings                 4.100000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.394422
Delivery_location_longitude            85.372900
Order_Date                            05-04-2022
Time_Orderd                                14:45
Time_Order_picked                          14:55
Weather conditions                    Sandstorms
Road_traffic_density                        High
Vehicle_condition                              0
Type_of_order                             Drinks
Type_of_vehicle                       motorcycle
multiple_deliveries                     2.000000
Festival                                      No
City                                       Urban
Time_taken (min)                       32.000000
Name: 43632, dtype: object
