ID                                    0x6180
Delivery_person_ID             MUMRES05DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                18.927584
Restaurant_longitude               72.832585
Delivery_location_latitude         18.967584
Delivery_location_longitude        72.872585
Order_Date                        05-04-2022
Time_Orderd                              NaN
Time_Order_picked                      14:55
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 44778, dtype: object
