ID                                     0xe0b
Delivery_person_ID             HYDRES16DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                17.440827
Restaurant_longitude               78.393391
Delivery_location_latitude         17.520827
Delivery_location_longitude        78.473391
Order_Date                        06-03-2022
Time_Orderd                            21:10
Time_Order_picked                      21:20
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   52.000000
Name: 4548, dtype: object
