ID                                     0xb2c6
Delivery_person_ID             INDORES01DEL03
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.695207
Restaurant_longitude                75.866059
Delivery_location_latitude          22.785207
Delivery_location_longitude         75.956059
Order_Date                         10-03-2022
Time_Orderd                             17:10
Time_Order_picked                       17:20
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    25.000000
Name: 8015, dtype: object
