ID                                       0x3dc7
Delivery_person_ID              COIMBRES13DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   11.003669
Restaurant_longitude                  76.976494
Delivery_location_latitude            11.093669
Delivery_location_longitude           77.066494
Order_Date                           06-04-2022
Time_Orderd                               20:40
Time_Order_picked                         20:45
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 8496, dtype: object
