ID                                     0x38fe
Delivery_person_ID             BANGRES06DEL01
Delivery_person_Age                 24.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 12.979096
Restaurant_longitude                77.640625
Delivery_location_latitude          13.019096
Delivery_location_longitude         77.680625
Order_Date                         09-03-2022
Time_Orderd                             14:45
Time_Order_picked                       14:50
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 9451, dtype: object
